name,"postal_abbreviation
",capital_city,largest_city,when_established,population,total_area,land_area,water_area,number_of_reps
Alabama,AL,Montgomery,Birmingham,"Dec 14, 1819","4,903,185","52,420","50,645","1,775",7
Alaska,AK,Juneau,Anchorage,"Jan 3, 1959","731,545","665,384","570,641","94,743",1
Arizona,AZ,Phoenix,Phoenix,"Feb 14, 1912","7,278,717","113,990","113,594",396,9
Arkansas,AR,Little Rock,Little Rock,"Jun 15, 1836","3,017,804","53,179","52,035","1,143",4
California,CA,Sacramento,Los Angeles,"Sep 9, 1850","39,512,223","163,695","155,779","7,916",53
Colorado,CO,Denver,Denver,"Aug 1, 1876","5,758,736","104,094","103,642",452,7
Connecticut,CT,Hartford,Bridgeport,"Jan 9, 1788","3,565,278","5,543","4,842",701,5
Delaware,DE,Dover,Wilmington,"Dec 7, 1787","973,764","2,489","1,949",540,1
Florida,FL,Tallahassee,Jacksonville,"Mar 3, 1845","21,477,737","65,758","53,625","12,133",27
Georgia,GA,Atlanta,Atlanta,"Jan 2, 1788","10,617,423","59,425","57,513","1,912",14
Hawaii,HI,Honolulu,Honolulu,"Aug 21, 1959","1,415,872","10,932","6,423","4,509",2
Idaho,ID,Boise,Boise,"Jul 3, 1890","1,787,065","83,569","82,643",926,2
Illinois,IL,Springfield,Chicago,"Dec 3, 1818","12,671,821","57,914","55,519","2,395",18
Indiana,IN,Indianapolis,Indianapolis,"Dec 11, 1816","6,732,219","36,420","35,826",593,9
Iowa,IA,Des Moines,Des Moines,"Dec 28, 1846","3,155,070","56,273","55,857",416,4
Kansas,KS,Topeka,Wichita,"Jan 29, 1861","2,913,314","82,278","81,759",520,4
Kentucky,KY,Frankfort,Louisville,"Jun 1, 1792","4,467,673","40,408","39,486",921,6
Louisiana,LA,Baton Rouge,New Orleans,"Apr 30, 1812","4,648,794","52,378","43,204","9,174",6
Maine,ME,Augusta,Portland,"Mar 15, 1820","1,344,212","35,380","30,843","4,537",2
Maryland,MD,Annapolis,Baltimore,"Apr 28, 1788","6,045,680","12,406","9,707","2,699",8
Massachusetts,MA,Boston,Boston,"Feb 6, 1788","6,892,503","10,554","7,800","2,754",9
Michigan,MI,Lansing,Detroit,"Jan 26, 1837","9,986,857","96,714","56,539","40,175",14
Minnesota,MN,St. Paul,Minneapolis,"May 11, 1858","5,639,632","86,936","79,627","7,309",8
Mississippi,MS,Jackson,Jackson,"Dec 10, 1817","2,976,149","48,432","46,923","1,508",4
Missouri,MO,Jefferson City,Kansas City,"Aug 10, 1821","6,137,428","69,707","68,742",965,8
Montana,MT,Helena,Billings,"Nov 8, 1889","1,068,778","147,040","145,546","1,494",1
Nebraska,NE,Lincoln,Omaha,"Mar 1, 1867","1,934,408","77,348","76,824",524,3
Nevada,NV,Carson City,Las Vegas,"Oct 31, 1864","3,080,156","110,572","109,781",791,4
New Hampshire,NH,Concord,Manchester,"Jun 21, 1788","1,359,711","9,349","8,953",397,2
New Jersey,NJ,Trenton,Newark,"Dec 18, 1787","8,882,190","8,723","7,354","1,368",12
New Mexico,NM,Santa Fe,Albuquerque,"Jan 6, 1912","2,096,829","121,590","121,298",292,3
New York,NY,Albany,New York,"Jul 26, 1788","19,453,561","54,555","47,126","7,429",27
North Carolina,NC,Raleigh,Charlotte,"Nov 21, 1789","10,488,084","53,819","48,618","5,201",13
North Dakota,ND,Bismarck,Fargo,"Nov 2, 1889","762,062","70,698","69,001","1,698",1
Ohio,OH,Columbus,Columbus,"Mar 1, 1803","11,689,100","44,826","40,861","3,965",16
Oklahoma,OK,Oklahoma City,Oklahoma City,"Nov 16, 1907","3,956,971","69,899","68,595","1,304",5
Oregon,OR,Salem,Portland,"Feb 14, 1859","4,217,737","98,379","95,988","2,391",5
Pennsylvania,PA,Harrisburg,Philadelphia,"Dec 12, 1787","12,801,989","46,054","44,743","1,312",18
Rhode Island,RI,Providence,Providence,"May 29, 1790","1,059,361","1,545","1,034",511,2
South Carolina,SC,Columbia,Charleston,"May 23, 1788","5,148,714","32,020","30,061","1,960",7
South Dakota,SD,Pierre,Sioux Falls,"Nov 2, 1889","884,659","77,116","75,811","1,305",1
Tennessee,TN,Nashville,Nashville,"Jun 1, 1796","6,829,174","42,144","41,235",909,9
Texas,TX,Austin,Houston,"Dec 29, 1845","28,995,881","268,596","261,232","7,365",36
Utah,UT,Salt Lake City,Salt Lake City,"Jan 4, 1896","3,205,958","84,897","82,170","2,727",4
Vermont,VT,Montpelier,Burlington,"Mar 4, 1791","623,989","9,616","9,217",400,1
Virginia,VA,Richmond,Virginia Beach,"Jun 25, 1788","8,535,519","42,775","39,490","3,285",11
Washington,WA,Olympia,Seattle,"Nov 11, 1889","7,614,893","71,298","66,456","4,842",10
West Virginia,WV,Charleston,Charleston,"Jun 20, 1863","1,792,147","24,230","24,038",192,3
Wisconsin,WI,Madison,Milwaukee,"May 29, 1848","5,822,434","65,496","54,158","11,339",8
Wyoming,WY,Cheyenne,Cheyenne,"Jul 10, 1890","578,759","97,813","97,093",720,1